Flokkun,A7,B5,B8,C4,E3,E4
Abra nitida,1,1,2,1,,
Ampharete acutifrons,,,,,14,
Ampharetinae sp,1,4,1,4,,
Apistobranchus tullbergi,,4,1,,5,3
Arctica islandica,,4,9,,3,
Aricidea (Acmira) cerrutii,,,,,,4
Astarte,,,,,4,
Bivalvia ungv,,,2,8,,
Buccinum undatum,,,1,,,
Caprella septentrionalis,,,,2,,16
Chaetozone setosa,4,39,7,2,6,5
Cirratulus cirratus,,,,,1,
Cossura longocirrata,1,,29,,14,
Crassicorophium bonellii,,,,,8,2
Crenella decussata,,,2,,1,
Dodecaceria concharum,,8,,,,
Eteone longa,1,,2,,3,1
Eudorella emarginata,,,,,1,
Foraminifera,2,20,1,,,
Harpacticoida,,,1,,4,
Heteromastus filiformis,,,,,10,1
Lanassa venusta,3,4,2,1,6,
Laphania boecki,,,,,1,1
Leda pernula,,,3,,1,
Leda ungv,,,,4,,
Leucon acutirostris,,,2,12,26,1
Levinsenia gracilis,,,,,56,2
Lumbrineris sp,,,1,,,
Macoma calcarea,,10,3,7,24,7
Maldane sarsi,,,,,1,
Mediomastus filiformis,,,,,10,
Microphthalmus aberrans,,8,,,,
Munna sp,,,,2,,
Musculus discors,,,,4,,
Myriochele oculata,,4,,2,,
Mytilus edulis,,20,3,28,8,
Nematoda,3,96,8,14,72,
Nemertea,,4,,2,1,
Nuculana tenuis,7,32,25,10,5,1
Oligochaeta sp,,,1,,179,27
Onoba aculeus,,,,4,,
Ophelina acuminata,2,,6,17,,
Ophiuroidea sp,,1,,,,
Ostracoda,101,168,189,8,88,
Paroediceros lynceus,,,,3,8,
Pectinaria granulata,1,12,2,8,,1
Philomedes globosus,,,,2,3,
Pholoe minuta,,4,,1,,1
Phyllodoce maculata,,,,,2,
Polydora sp,,,,,225,37
Polynoidae ungv,,,1,,,
Praxillella praetermissa,2,4,3,,20,5
Priapulus caudatus,,4,,,1,
Protomedeia fasciata,7,,21,5,1,
Pseudopotamilla reniformis,,,,,1,
Pygospio elegans,1,,,,,1
Retusa pertenuis,,,1,2,,
Scalibregma inflatum,2,50,19,7,,1
Schistomeringos nigridentata,2,16,,,4,
Scoloplos armiger,2,9,4,6,8,3
Sphaerodoridae,,,,,1,
Spio sp,,1,1,6,84,3
Sternaspis scutata,1,10,3,,26,4
Syllis cornuta,,,,,7,
Syllis gracilis,,,2,,,1
Terebellides stroemi,1,25,3,,16,3
Thracia villosiuscula,,,2,,,
Thyasira flexuosa,,4,,,4,
Tubificoides benedii,,,,2,,
Yoldia hyperborea,,3,1,1,,
