tegund/hópur,U1A*1/8,U1A
Acarina sp,,
Ampharete acutifrons,,1
Ampharete sp,,
Amphipoda sp,,
amphipoda ungv.,,
Amphitrite affinis,,1
Amphitrite cirrata,,1
Arctica islandica,,
Arenicola marina,,
Aricidea suecica,,1
Ascidiacea sp,,2
Astartidae borealis,,
Asteroidea,,
Axionice maculata,,
Bivalvia sp.,,
Bivalvia ungv.,14,
Brada inhabilis,,1
Brada villosa,,
Campanulariidae sp,,
Capitella capitata,,3
Chaetozone setosa,,3
Cirratulus cirratus,,
Copepoda sp,,2
Corophium bonnellii,,7
Cossura longocirrata,,
Crenella sp,,
Cumacea sp,,2
Dodecaceria concharum,,
egg/lirfur,,
Eteone longa ath,,2
Eteone suecica ath,,
Eunoe nodosa,,
Eupolymnia nesidensis,,10
Exogone hebes,,
Exogone verrugera,,3
Flabelligera affinis???,,
Foraminifera,,
Galathowenia oculata,,
Gastropoda ungv,2,
Gattyana cirrosa,,3
Harmothoe extenuata,,1
Harmothoe imbricata,,6
Harmothoe sp,,
Henricia sanguinolenta,,
Heteromastus filiformis,,
Hiatella arctica,,
Hyas araneus,,
Lanassa venusta,,
Lepeta caeca,,
Lepidonotus squamatus,,2
Levinsenia gracilis,,
Macoma calcaria,,
Maldanidae sp,,
Mediomastus filiformis,,
Mediomastus fragilis,,
Microphthalmus aberrans,,1
Moelleria costulata,,
Musculus,,
Myriochele oculata,,
Nematoda sp,x,x
Nemertea?,,12
Nephtiydae sp,,1
Nereimyra punctata,,2?
Oligochaeta sp.,,
Ophiuroidea sp,,21
Ophryotrocha cf Cosmetandra,,
Orbiniidae sp,,
Ostracoda sp,,
Pectinaria granulata,,2
Philomedes globosus,,5
Pholoe sp,,1
Phyllodoce maculata,,1
Phyllodocidae sp,,
Polycirrinae sp.,,
Polynoida ungv.,,32
Polyplacophora sp,,13
Porifera sp,,
Praxillella praetermissa,,5
Protomedeia fasciata,,
Pycnogonida sp,,3
Rhodine gracilior,,
Sabellida sp,,
Scoloplos armiger,,4
Sphaerosyllis erinaceus,,3
Sphaerosyllis ungv.,,
Spionidae sp.,,21
Sternapsis scutata,,
Syllidae sp,,1
Syllis cornuta,,
Terebellidae sp,,
Tubicoides benedi,,
Tubicoides kozloffi,,
Typosyllis armillaris,,
