tegund/hópur,U1B*1/8,U1B
Acarina sp,2,
Ampharete acutifrons,,
Ampharete sp,,
Amphipoda sp,,
amphipoda ungv.,1,
Amphitrite affinis,,
Amphitrite cirrata,,
Arctica islandica,,
Arenicola marina,,
Aricidea suecica,,
Ascidiacea sp,3,
Astartidae borealis,,
Asteroidea,,
Axionice maculata,,1
Bivalvia sp.,,
Bivalvia ungv.,5,
Brada inhabilis,,
Brada villosa,,
Campanulariidae sp,1,
Capitella capitata,1,
Chaetozone setosa,4,1
Cirratulus cirratus,3,
Copepoda sp,22,
Corophium bonnellii,16,
Cossura longocirrata,,
Crenella sp,3,
Cumacea sp,1,
Dodecaceria concharum,3,
egg/lirfur,,
Eteone longa ath,,
Eteone suecica ath,,
Eunoe nodosa,,
Eupolymnia nesidensis,,2
Exogone hebes,,
Exogone verrugera,,
Flabelligera affinis???,,
Foraminifera,,
Galathowenia oculata,,
Gastropoda ungv,,
Gattyana cirrosa,,1
Harmothoe extenuata,4,
Harmothoe imbricata,6,3
Harmothoe sp,,
Henricia sanguinolenta,4,
Heteromastus filiformis,,
Hiatella arctica,,
Hyas araneus,,1
Lanassa venusta,,
Lepeta caeca,1,
Lepidonotus squamatus,1,
Levinsenia gracilis,,
Macoma calcaria,,
Maldanidae sp,,
Mediomastus filiformis,,
Mediomastus fragilis,,
Microphthalmus aberrans,,
Moelleria costulata,2,
Musculus,,
Myriochele oculata,,
Nematoda sp,120,
Nemertea?,,
Nephtiydae sp,,
Nereimyra punctata,1,
Oligochaeta sp.,,
Ophiuroidea sp,2,3
Ophryotrocha cf Cosmetandra,,
Orbiniidae sp,,
Ostracoda sp,5,
Pectinaria granulata,,
Philomedes globosus,1,
Pholoe sp,,
Phyllodoce maculata,,1
Phyllodocidae sp,,
Polycirrinae sp.,2,
Polynoida ungv.,37,
Polyplacophora sp,1,
Porifera sp,1,
Praxillella praetermissa,,
Protomedeia fasciata,1,
Pycnogonida sp,4,2
Rhodine gracilior,,
Sabellida sp,3,
Scoloplos armiger,,
Sphaerosyllis erinaceus,,
Sphaerosyllis ungv.,13,
Spionidae sp.,33,
Sternapsis scutata,,
Syllidae sp,,
Syllis cornuta,,
Terebellidae sp,1,
Tubicoides benedi,,
Tubicoides kozloffi,2,
Typosyllis armillaris,1,
