"Flokkun","N","skipting","ath"
"Ophelina acuminata",5,"1","http://species-identification.org/species.php?species_group=macrobenthos_polychaeta&id=746&menuentry=soorten"
"Scalibregma inflatum",3,"1",""
"Polydora",1,"1",""
"Ranaormur",2,"1","óviss"
"Heteromastus filiformis",1,"1","óviss"
"Capitella capitata",3,"1","óviss"
"Ophelina acuminata",6,"1/4",""
"Scoloplos armiger",3,"1/4",""
"Capitella capitata",1,"1/4",""
"Scalibregma inflatum",6,"1/4",""
"Polydora sp.",4,"1/4",""
"Nemertea",1,"1/4",""
"Cossura longocirrata",4,"1/4",""
"Crassicorophium bonellii",1,"1/4",""
"Amphipoda sp",1,"1/4",""
"Pseudopolydora antennata",1,"1/4",""
"Hydrozoa",2,"1/4",""
"Heteromastus filiformis",9,"1/4",""
"Microphthalmus aberrans",1,"1/4",""
"Aricidea suecica",1,"1/4",""
"Spionida sp.",1,"1/4",""
"Götungar",25,"1/4",""
