Flokkun,N,skipting,ath
Abra nitida,,,
Amphipoda,,,
Amphitrite cirrata,,,
Arctica islandica,,,
Aricidea suecica,2,0.25,
Bivalvia,,,
Capitella capitata,1,0.25,"Burstar ‡ 1. liÝ, 9 frambolsliÝir. H‡rburstar ‡ 4 fremstu. Kr—kburstar fr‡ 5. Demystifying the Capitella capitata complex (Annelida, Capitellidae) diversity by morphological and molecular data along the Brazilian coast "
Chaetozone setosa,1,0.25,
Cirratulidae,,,
Crassicorophium bonellii,2,0.25,
Cossura longocirrata,2,0.25,
Cossuridae,,,
Cumacea,,,
Etone longa,,,
Etone longa,,,
Foraminifera,,,
Foraminifera,,,
Gattyana cirrhosa,1,0.25,
Harpacticoida sp,,,
Heteromastus filiformis,,,
Heteromastus filiformis,,,
Hiatella arctica,1,0.25,
Leda minuta,,,
Levinsenia gracilis,,,
lirfurOgDrasl,,,
lirfurOgDrasl,,,
Lumbrineridae sp,,,
Macoma calcarea,,,
Macoma calcarea,1,0.25,
Maldanidae,,,
Maldanidae,,,
Maldanidae með augu,,,
Mediomastus fragilis,1,0.25,
Microphthalmus aberrans,,,
Mya arenaria,,,
Nematoda,,,
Nematoda,,,
Nematoda,3,0.25,
Nemertea sp,,,
Nemertea sp,,,
Nuculana minuta,1,0.25,
Oligochaeta sp,2,0.25,
Oligochaeta sp,,,
Orbiniidae,1,0.25,juv
Ophelina acuminata,1,1,Illa varÝveittur
Ophelina acuminata,9,0.25,einn mjšg illa varÝveittur
Ostracoda,,,
Ostracoda,4,0.25,
Cistenides hyperborea,1,0.25,"illa varÝveittur, uncini ekki sj‡anleg. …ruggara aÝ aÝ flokka sem Pectinariidae sp."
Pectinariidae sp,,,
Pholoe sp,,,
Phyllodoce maculata,,,
Phyllodocida,,,
Polychaeta sp,,,
Polychaeta sp,,,
Polydora,,,
Polydora,2,0.25,
Polynoidae,,,
Polynoidae,,,
Praxillella praetermissa,,,
Praxillella praetermissa,,,
Protomedeia fasciata,1,0.25,
Priapulidae sp,,,
Pygospio elegans,,,
Scalibregma inflatum,,,
Scalibregma inflatum,1,0.25,
Scoloplos armiger,,,
Scoloplos armiger,1,0.25,minni en 3 mm
Sipuncula ,,,
Sphaerodoropsis minuta,,,
spio,,,
Spionidae sp,,,
Spionidae sp,23,0.25,
Syllidae,,,
Terebellinae,,,
