"year","station","Mean_Richness","SD_Richness","Mean_Shannon","SD_Shannon"
1999,"A7",17,NA,2.5606070768256,NA
1999,"B5",25,NA,2.73354803091653,NA
1999,"B8",29,NA,2.73009822168065,NA
1999,"C4",23,NA,2.72304883414643,NA
1999,"E3",37,NA,2.48084586960449,NA
1999,"E4",22,NA,2.36576816697702,NA
2013,"A7",22.5,6.36396103067893,2.08772693008579,0.57926102544828
2013,"B0",15,5,1.54537706603907,0.47326207801651
2013,"B5",31.3333333333333,3.21455025366432,2.26718561681052,0.10198609882844
2013,"B8",33,3.60555127546399,2.6920884898192,0.369359657495684
2013,"C4",31.6666666666667,4.16333199893227,2.45440762101231,0.0153597489055129
2013,"E3",33,27.2213151776324,1.60674177231322,1.45563086357499
2013,"E4",43,2,2.22087817846112,0.289132767958191
2013,"U1",30,1,2.66873523161855,0.201114985387265
2013,"U2",21,0,1.64181808431208,0.44495337248657
2014,"A7",24.6666666666667,5.85946527708232,2.28889649057255,0.53775388794597
2014,"B0",15,5,1.54537706603907,0.47326207801651
2014,"B5",31.3333333333333,3.21455025366432,2.26718561681052,0.10198609882844
2014,"B8",33,3.60555127546399,2.6920884898192,0.369359657495684
2014,"C4",31.6666666666667,4.16333199893227,2.45440762101231,0.0153597489055129
2014,"E3",49,4.58257569495584,2.67661855120561,0.656153248897073
2014,"E4",43,2,2.22087817846112,0.289132767958191
2015,"A7",24.6666666666667,5.85946527708232,2.28889649057255,0.53775388794597
2015,"B5",31.3333333333333,3.21455025366432,2.26718561681052,0.10198609882844
2015,"B8",33,3.60555127546399,2.6920884898192,0.369359657495684
2015,"C4",31.6666666666667,4.16333199893227,2.45440762101231,0.0153597489055129
2015,"E3",49,4.58257569495584,2.67661855120561,0.656153248897073
2015,"E4",43,2,2.22087817846112,0.289132767958191
2016,"A7",24.6666666666667,5.85946527708232,2.28889649057255,0.53775388794597
2016,"B5",31.3333333333333,3.21455025366432,2.26718561681052,0.10198609882844
2016,"B8",33,3.60555127546399,2.6920884898192,0.369359657495684
2016,"C4",31.6666666666667,4.16333199893227,2.45440762101231,0.0153597489055129
2016,"E3",49,4.58257569495584,2.67661855120561,0.656153248897073
2016,"E4",43,2,2.22087817846112,0.289132767958191
2017,"A7",28,1.4142135623731,2.59428097040171,0.13711456844138
2017,"B5",31.3333333333333,3.21455025366432,2.26718561681052,0.10198609882844
2017,"B8",33,3.60555127546399,2.6920884898192,0.369359657495684
2017,"C4",31.6666666666667,4.16333199893227,2.45440762101231,0.0153597489055129
2017,"E3",49,4.58257569495584,2.67661855120561,0.656153248897073
2017,"E4",43,2,2.22087817846112,0.289132767958191
