Species,Cumulative_Percent,Individual_Percent,Abundance_Change,Ecological_Group,Year,
Capitella capitata,46.89,46.89,66225,5,1999-2013,
Polydora,53.93,7.04,-11644.44,4,1999-2013,
Spio,58.08,4.15,-1277.78,3,1999-2013,
Ennucula tenuis,62.08,4,-3555.56,2,1999-2013,
Scalibregma inflatum,65.55,3.47,-3511.11,3,1999-2013,
Chaetozone setosa,68.41,2.85,-1508.33,4,1999-2013,
Capitella capitata,67.15,67.15,-53383.33,5,2013-2014,
Capitella capitata,29.62,29.62,-12808.33,5,2014-2015,
Macoma calcarea,39.33,9.71,4033.33,2,2014-2015,
Ophelina acuminata,47.16,7.83,3516.67,3,2014-2015,
Eteone longa,54.22,7.06,-2500,3,2014-2015,
Mediomastus fragilis,60.63,6.41,2241.67,3,2014-2015,
Spio,66.33,5.7,-358.33,3,2014-2015,
Ophelina acuminata,17.29,17.29,7616.67,3,2015-2016,
Spionidae,29.84,12.55,6833.33,3,2015-2016,
Polydora,38.18,8.34,3458.33,4,2015-2016,
Heteromastus filiformis,44.36,6.19,2700,4,2015-2016,
Mediomastus fragilis,49.66,5.3,-2375,3,2015-2016,
Macoma calcarea,54.49,4.83,150,2,2015-2016,
Scoloplos armiger,58.98,4.49,933.33,3,2015-2016,
Spio,63.13,4.15,-2066.67,3,2015-2016,
Scalibregma inflatum,66.03,2.9,1316.67,3,2015-2016,
NA,68.68,2.65,1400,NA,2015-2016,þarf að skoða
Polydora,14.97,14.97,6758.33,4,2016-2017,
Ophelina acuminata,29.29,14.32,-7937.5,3,2016-2017,
Spionidae,39.32,10.03,-6833.33,3,2016-2017,
Scalibregma inflatum,47.08,7.76,3741.67,3,2016-2017,
Heteromastus filiformis,51.69,4.61,-2633.33,4,2016-2017,
Macoma calcarea,56.03,4.34,-295.83,2,2016-2017,
Mediomastus fragilis,60.16,4.13,2533.33,3,2016-2017,
Scoloplos armiger,64.18,4.02,1275,3,2016-2017,
Abra nitida,67.45,3.27,1758.33,3,2016-2017,
Praxillella praetermissa,69.89,2.44,1395.83,3,2016-2017,
Polydora,16.83,16.83,263.89,4,1999-2017,
Scalibregma inflatum,25.34,8.51,1622.22,3,1999-2017,
Macoma calcarea,30.44,5.1,2045.83,2,1999-2017,
Ennucula tenuis,35.41,4.97,-3455.56,2,1999-2017,
Ophelina acuminata,39.9,4.49,2101.39,3,1999-2017,
Mediomastus fragilis,44.3,4.4,2866.67,3,1999-2017,
Scoloplos armiger,48.18,3.88,2277.78,3,1999-2017,
Mytilus edulis,51.75,3.56,-2622.22,3,1999-2017,
Spio,55.18,3.44,-3161.11,3,1999-2017,
Abra nitida,58.42,3.23,1944.44,3,1999-2017,
Chaetozone setosa,61.5,3.09,-1016.67,4,1999-2017,
Protomedeia fasciata,64.46,2.96,-511.11,2,1999-2017,
Cossura longocirrata,67.14,2.67,-1638.89,4,1999-2017,
Terebellides stroemii,69.35,2.21,-2079.17,2,1999-2017,
